"","Km1_CO2","Km2_HCO3","Km2_PEP","Km6_CO2","Km6_O2","Km6_RuBP","Km7_PGA","Km10_DHAP","Km10_GAP","Km12_DHAP","Km12_E4P","Km14_GAP","Km15_GAP","Ki18_Pi","Km18_ATP","Km18_Ru5P","Km33_NADP","Ki57","Vm2y22","Vm3y22","Vm4y22","Vm5y22","Vm6y22","Vm7_8y22","Vm12y22","Jmaxy22","Vm33y22","Vm35Mc_OAAy22","KaRac","tao_ActRubisco","Perm_CO2","gm","BBslope","MRd"
"SSA_00001",3.25583302771582,0.0196128601134368,0.0957621583899837,0.00920050056315591,0.351387804078591,0.0253482502018175,4.10898075445713,0.590729478405813,0.0425874187874698,0.355809552292362,0.187450739850103,0.0872320092974706,0.100258294023177,2.71623711970112,0.918843581004453,0.0392256908703358,0.0806561767793655,0.113431538328124,0.0576684927295611,0.0603858031474955,0.0579502947780775,0.0869275128649538,0.136207841744688,0.76543694251565,0.113969739363542,1.07248108442508,0.26783184571109,0.094502742501204,15.0204430878699,253.231768312755,0.120820268534006,3.52257681520257,3.42477045737751,1.53263368743754
"SSA_00003",3.42879305130036,0.0240290235840255,0.27514687699372,0.0270466745167328,0.250635633114605,0.0194739734533633,3.16250574575264,0.601339265953582,0.0584211891051095,0.541237839451446,0.228158852127363,0.0993893598469978,0.0771463794953913,10.4796840010522,0.799983986757542,0.0446814929744999,0.0296082600669175,0.143613727509211,0.113010204558168,0.0524241034978994,0.0593059895131285,0.0841233571651898,0.137086946745039,0.767805380261429,0.114749766264119,1.07248108442508,0.268020177672874,0.094502742501204,8.16145689405858,212.033776656502,0.141520319604827,4.89915002691828,2.29171209919771,2.15986581844081
"SSA_00004",3.86173696849959,0.0218451024555926,0.0909498816447552,0.00857256006675102,0.313436051199284,0.0240344213288008,5.41751272496139,0.569849152281194,0.0376296498886158,0.51069667803986,0.1496677860256,0.151347689420519,0.0916632595052133,3.28706912414584,0.886353538630208,0.0438156978588778,0.0329129363557704,0.136274677837262,0.0825992034863053,0.0546987621819443,0.0594453516934412,0.0934883695496858,0.136558717277703,0.773702719740999,0.114641053457217,1.07248108442508,0.251530248169814,0.094502742501204,8.09865418032108,383.455369655918,0.163504009228531,2.07885386819444,3.06782157165338,1.71488270411264
"SSA_00005",6.05443616991126,0.0271380640247409,0.169021558178673,0.00843070460974329,0.21012955947669,0.0168225225745145,4.65522505934977,0.711393200547759,0.054201361885948,0.76631625698823,0.180054144198821,0.0796254817121152,0.0876854865111352,3.59611402107021,0.713234116577074,0.036938176718815,0.0357098922838105,0.185496135798942,0.0638126688059957,0.0527744065429328,0.0571119124539284,0.0820367514300336,0.137052149365215,0.762261654706635,0.114173297438935,1.07248108442508,0.251807057089569,0.094502742501204,14.6283217330876,415.122011652549,0.0551479532297469,3.39371943648214,2.88445375768705,1.20915629566699
"SSA_00006",2.10846356097176,0.0392152381516568,0.246067968948367,0.0233573323124296,0.212033584593902,0.0246038480448128,3.75577721847938,0.588185678592686,0.0552593323168854,0.226596549830504,0.269249795498101,0.264797766136388,0.0971458061601345,3.8729460212062,0.366418653394539,0.0341357574071625,0.0327516394698983,0.205937543429141,0.0948637540765842,0.0496849717025232,0.0574349497749334,0.0893757078336026,0.136321852264,0.785463152848581,0.114775209945659,1.07248108442508,0.261337959960819,0.094502742501204,16.3833312648361,214.208142156059,0.11201064233712,3.06298124375038,2.53250432990741,1.8241865969779
"SSA_00007",2.77390661117969,0.0198055869127962,0.0884011103423221,0.0237290992052372,0.208796876397591,0.0151029570907318,3.41726543892174,0.839528076505818,0.0606754662678637,0.418255417377825,0.239183592923952,0.0770007331513531,0.0529298137031717,11.8499373075513,0.568471804845062,0.0962772387424944,0.0323824441613177,0.208988690399112,0.116687687372984,0.0610349399714579,0.0640449322264569,0.0922864330393969,0.137159823276867,0.757110654080455,0.11598004322682,1.07248108442508,0.260596417860432,0.094502742501204,7.21953683489195,131.611329161179,0.1938546148026,4.60875760179594,2.57272187437506,2.65035330392789
"SSA_00008",3.31449220160233,0.0484923790487193,0.0694605459307317,0.00815356331771355,0.19805708630284,0.0218926228573371,5.94441833791571,0.557014510841435,0.0469995861807878,0.534165349399151,0.195915937588459,0.112126953328276,0.118567368191738,6.85049665462066,0.692993298481175,0.0350499586909393,0.037992658450237,0.158215125957126,0.10399742410353,0.0610450687121055,0.0587894375755415,0.0873399057498468,0.136424422051116,0.784999548276811,0.113661153892155,1.07248108442508,0.258818423298872,0.094502742501204,13.4211877918786,207.184478144403,0.110205055552261,1.8422982484434,3.33962936315825,1.18877149983261
"SSA_00009",2.65226033902417,0.0244934057381605,0.0813259695621981,0.0155918060534633,0.302108085917701,0.0203951166775894,4.17357985769131,0.787199800037371,0.0317611750581261,0.426797573847486,0.14762715585198,0.0661994969506346,0.0695248576458786,3.47146319357041,0.494066960817637,0.040022740508641,0.0570457419661363,0.190772004360339,0.0696496195212616,0.0512719631286676,0.0676124767575332,0.0812165389369439,0.136238758039868,0.775029865849871,0.113987815513369,1.07248108442508,0.292865252651094,0.094502742501204,9.93346193623454,258.78403915676,0.0783723514913482,1.75089915181162,2.87434690740828,1.49405789588886
"SSA_00010",5.89282966555796,0.0239735929330864,0.0907914528906383,0.0132438642188524,0.286071519796557,0.0134929195577342,4.31363950244538,0.826336674707792,0.0540471832689988,0.341982050808184,0.227876085355004,0.296732058013748,0.230747316836082,7.01258763876967,1.17638657414496,0.0328223929187883,0.0523205655213795,0.131437827900502,0.0937024859637595,0.0534245724899004,0.0619666702802316,0.0962137038811131,0.136723854170317,0.787601721037763,0.113093342439944,1.07248108442508,0.270725754866109,0.094502742501204,14.1432458517178,252.511141355227,0.0629776500400831,2.08003547870165,2.95899828175241,1.87742684447988
"SSA_00013",2.59104038926871,0.0282517857980037,0.16930658571649,0.010095732917251,0.245359351171391,0.0239641928635832,4.6488588634087,0.889715740889994,0.0330246877763053,0.359450898951119,0.336496522216192,0.0740613164680966,0.0721763199864773,8.08264614475095,0.510779848059635,0.0389444224999556,0.0487956643573603,0.13086532202843,0.0836331867283396,0.0610811594705543,0.0583944870953891,0.0888656123990847,0.136277638540993,0.782178416866003,0.11437405045126,1.07248108442508,0.267974287783183,0.094502742501204,9.42707682537076,257.611121339065,0.126432278010867,3.40271179706556,2.99352498662963,1.46147957212015
