Accession,ACa2022_400,ACa2022_600,ACa2022_800,ACa2022_1000,ACa2022_1250,ACa2022_300,ACa2022_250,ACa2022_200,ACa2022_100,ACa2022_75,ACa2022_25,ACa2023_400,ACa2023_600,ACa2023_800,ACa2023_1000,ACa2023_1250,ACa2023_300,ACa2023_250,ACa2023_200,ACa2023_100,ACa2023_75,ACa2023_25,GsCa2022_400,GsCa2022_600,GsCa2022_800,GsCa2022_1000,GsCa2022_1250,GsCa2022_300,GsCa2022_250,GsCa2022_200,GsCa2022_100,GsCa2022_75,GsCa2022_25,GsCa2023_400,GsCa2023_600,GsCa2023_800,GsCa2023_1000,GsCa2023_1250,GsCa2023_300,GsCa2023_250,GsCa2023_200,GsCa2023_100,GsCa2023_75,GsCa2023_25,2022_PAR_1800,2022_PAR_1100,2022_PAR_500,2022_PAR_300,2022_PAR_150,2022_PAR_50,2023_PAR_1800,2023_PAR_1100,2023_PAR_500,2023_PAR_300,2023_PAR_150,2023_PAR_50
SSA_00001,32.6672,34.1852,34.8862,35.3343,35.6764,26.7277,23.3236,19.3939,9.80485,7.3047,2.03744,33.3169,34.7637,35.4027,35.8084,36.1154,28.2691,24.4598,20.2268,10.1775,7.55667,2.12123,0.12612,0.120214,0.112265,0.104021,0.0959211,0.124645,0.130726,0.136252,0.140661,0.143168,0.140925,0.128292,0.122177,0.113966,0.105469,0.0971392,0.13355,0.138676,0.143362,0.147016,0.148827,0.146231,28.1291,26.2014,16.8779,9.53432,3.88661,-0.0870468,29.2076,27.1116,16.9381,9.58287,3.92549,-0.0611311
SSA_00003,15.895,16.4991,17.0562,17.5449,18.0775,14.9369,13.0463,10.8863,5.41722,4.11265,1.28443,13.7624,14.4064,15.0058,15.5325,16.1069,13.3802,12.3604,10.2931,5.21371,3.96287,1.23443,0.0595849,0.0588992,0.0573414,0.0555024,0.0535595,0.0579724,0.0597613,0.0615107,0.0631373,0.064635,0.0657146,0.0562488,0.0557123,0.0544287,0.0528966,0.051266,0.0553761,0.0572203,0.0590333,0.0607493,0.062336,0.0634955,13.464,12.5949,11.7138,9.99797,3.60105,-1.31098,10.7052,9.99171,9.22601,7.42567,2.3675,-1.47918
SSA_00004,35.3827,38.5504,39.801,40.6399,41.3528,28.3342,23.8842,19.3639,9.64007,7.14364,2.03488,44.6273,48.5189,48.9922,49.1034,49.0095,34.5909,28.9126,23.1275,11.3818,8.40523,2.4566,0.130045,0.124541,0.116711,0.108429,0.100175,0.132891,0.135191,0.137211,0.13865,0.139201,0.136333,0.159068,0.151885,0.141145,0.129745,0.118433,0.160706,0.162266,0.163403,0.163747,0.163347,0.159726,32.2058,30.6922,18.7412,11.0573,4.86427,-0.713735,39.9871,35.4063,19.7594,11.8597,5.40561,-0.595737
SSA_00005,33.6832,39.2615,41.3224,42.5349,43.4826,26.3525,22.2437,17.8859,8.66935,6.31328,1.71126,29.8301,33.0168,34.3537,35.2111,35.9183,23.8449,20.3959,16.579,8.09081,5.89947,1.58412,0.121319,0.116707,0.110183,0.103105,0.0958769,0.124319,0.12606,0.127066,0.126936,0.125901,0.121694,0.110509,0.105979,0.0998322,0.093359,0.086899,0.11328,0.116459,0.118611,0.119034,0.118322,0.114518,28.0861,26.9695,20.1827,12.1861,5.65291,0.212858,26.2254,25.0156,20.0073,12.1703,5.63165,0.205249
SSA_00006,11.6412,12.1014,12.5662,12.9889,13.4647,11.5193,10.9216,8.9914,4.60473,3.49673,1.10594,14.6099,15.1496,15.675,16.1523,16.6895,13.6956,11.629,9.54655,4.8455,3.66761,1.16074,0.0487681,0.048234,0.0473079,0.0462749,0.0452157,0.0477491,0.0490692,0.0503346,0.0515006,0.0525647,0.0533567,0.0518404,0.0512304,0.0501026,0.0488265,0.0475087,0.0506404,0.0518302,0.0529384,0.0539594,0.054888,0.0555547,9.48776,8.87463,8.21198,6.79573,3.11519,-0.797638,11.0513,10.358,9.6,7.9543,3.33051,-0.589471
SSA_00007,19.5527,19.9072,20.1881,20.4311,20.6928,17.1088,14.9151,12.1325,6.19286,4.7253,1.53071,22.505,22.9752,23.2947,23.5718,23.8691,18.706,15.961,13.09,6.65581,5.06477,1.6389,0.0656767,0.0654711,0.0637775,0.0615332,0.0590399,0.0644083,0.0663698,0.0683111,0.0701821,0.0719762,0.0734975,0.0702128,0.07004,0.0681167,0.0655417,0.0626691,0.0701703,0.0720701,0.0739159,0.075695,0.0773976,0.078819,16.9673,15.7664,14.3947,10.3833,3.00394,-1.3391,17.9233,16.6575,15.1889,10.6137,3.14456,-1.31844
SSA_00008,40.5845,43.794,44.8242,45.4491,45.91,32.2681,27.1233,21.844,10.7953,7.98169,2.40246,23.6616,24.7383,25.4825,26.0563,26.5997,21.5591,19.3894,16.5543,8.67797,6.51698,1.92865,0.134238,0.127999,0.119413,0.110464,0.101642,0.138847,0.141263,0.142511,0.142714,0.142155,0.139577,0.090694,0.0869857,0.082179,0.0772506,0.0724355,0.100154,0.106693,0.112184,0.116716,0.118309,0.116576,36.2245,34.0038,21.7125,13.4979,5.60005,-0.472323,19.2532,18.0847,16.9056,10.4046,4.42723,0.158615
SSA_00009,30.6602,34.5,35.6929,36.379,36.9233,24.0278,20.3708,16.5054,8.21119,6.10093,1.78939,28.6129,31.2556,32.1642,32.714,33.1623,22.8399,19.4471,15.8159,7.89532,5.87653,1.7214,0.102338,0.0988251,0.0936197,0.0879542,0.0821968,0.103979,0.105413,0.106722,0.107629,0.108072,0.106484,0.0973256,0.093852,0.0888462,0.0834874,0.0781054,0.0992439,0.100925,0.102473,0.103631,0.104299,0.10292,24.5325,23.2389,19.333,11.5661,5.21082,-0.0883777,24.1165,22.7926,19.2772,11.5581,5.2003,-0.0926172
SSA_00010,31.4238,32.4126,33.0466,33.6036,34.1878,25.8418,21.7545,17.7078,8.92807,6.71434,2.11373,35.2421,36.8664,37.693,38.3813,39.0628,27.7684,23.2851,18.8231,9.42792,7.059,2.22237,0.0993009,0.0950297,0.0893547,0.0835337,0.0778705,0.101183,0.103209,0.104964,0.106395,0.107458,0.107154,0.107966,0.10321,0.0968196,0.0902424,0.083822,0.109306,0.11061,0.11174,0.112579,0.113112,0.112471,25.6569,24.1821,18.0064,10.7081,4.4347,0.0665727,28.6025,27.018,18.2369,10.8195,4.50674,0.102332
SSA_00013,35.8385,43.394,45.5097,46.343,46.8148,27.2577,22.7419,18.1986,8.84647,6.46942,1.73133,36.0767,43.221,45.0576,45.8031,46.2497,27.3178,22.7789,18.2271,8.86872,6.49213,1.75669,0.125852,0.122158,0.115942,0.108726,0.101078,0.127316,0.128141,0.128783,0.128816,0.12822,0.124082,0.126727,0.122835,0.116344,0.108907,0.101103,0.127226,0.128071,0.128729,0.128796,0.128242,0.124282,31.706,30.6495,18.3578,10.7664,4.50432,-0.220565,32.4394,31.2471,18.549,10.9132,4.69416,-0.188427
