Accession,2022_CO2_400,2022_CO2_600,2022_CO2_800,2022_CO2_1000,2022_CO2_1250,2022_CO2_300,2022_CO2_250,2022_CO2_200,2022_CO2_100,2022_CO2_75,2022_CO2_25,2022_PAR_1800,2022_PAR_1100,2022_PAR_500,2022_PAR_300,2022_PAR_150,2022_PAR_50,2023_CO2_400,2023_CO2_600,2023_CO2_800,2023_CO2_1000,2023_CO2_1250,2023_CO2_300,2023_CO2_250,2023_CO2_200,2023_CO2_100,2023_CO2_75,2023_CO2_25,2023_PAR_1800,2023_PAR_1100,2023_PAR_500,2023_PAR_300,2023_PAR_150,2023_PAR_50
SSA_00001,19.9447,20.0535,20.2897,20.5305,20.7856,20.6595,20.7915,21.2821,15.0567,11.8739,4.05063,16.5089,15.4787,11.619,3.28323,-0.788227,-1.93833,19.5754,19.6826,19.9134,20.1483,20.3969,20.2703,20.4,20.8573,14.8285,11.7641,4.00802,16.5089,15.4787,11.619,3.28323,-0.788227,-1.93833
SSA_00003,7.14058,7.70823,8.12537,8.44857,8.7386,8.70298,8.90055,9.24901,9.50903,7.10117,2.54543,7.2107,6.77695,4.72052,0.474187,-1.4175,-2.03073,7.74258,8.32829,8.77529,9.12627,9.44487,9.41897,9.64615,10.057,9.95906,7.45161,2.64616,7.2107,6.77695,4.72052,0.474187,-1.4175,-2.03073
SSA_00004,30.5501,30.8768,31.2326,31.5644,31.9023,30.7431,30.3899,29.8623,18.6189,14.9405,4.98381,27.0954,25.2717,18.2427,10.2931,1.65414,-1.64519,32.648,32.9875,33.3593,33.7101,34.0694,32.7744,32.3686,31.7121,19.6381,15.6404,5.22776,27.0954,25.2717,18.2427,10.2931,1.65414,-1.64519
SSA_00005,22.9738,23.1111,23.3797,23.6522,23.9397,23.6937,23.7754,24.2418,16.5545,12.9697,4.40726,17.8552,16.7265,12.652,3.85682,-0.655133,-1.92058,20.8152,20.9336,21.1719,21.4113,21.6628,21.4622,21.5454,21.923,15.2643,12.1406,4.12538,17.8552,16.7265,12.652,3.85682,-0.655133,-1.92058
SSA_00006,7.48049,8.0542,8.48886,8.82805,9.13438,9.08963,9.30464,9.68887,9.73809,7.28372,2.59712,7.19474,6.75921,4.70762,0.469581,-1.41871,-2.03094,8.17542,8.77075,9.23289,9.6011,9.93882,9.92447,10.1729,10.6314,10.2781,7.70096,2.71641,7.19474,6.75921,4.70762,0.469581,-1.41871,-2.03094
SSA_00007,12.1563,12.2418,12.4301,12.6264,12.837,12.8406,13.0491,13.4987,11.2142,8.97684,3.10877,10.7853,10.1389,7.29718,1.398,-1.20821,-1.99774,13.1526,13.2383,13.4435,13.6587,13.8903,13.9089,14.1422,14.6714,11.9836,9.40827,3.25787,10.7853,10.1389,7.29718,1.398,-1.20821,-1.99774
SSA_00008,25.9169,26.103,26.3842,26.6597,26.9454,26.3725,26.2689,26.3101,17.2249,13.7452,4.63106,21.8364,20.4084,15.6074,6.09378,-0.0977325,-1.85182,26.3775,26.5757,26.8713,27.159,27.4558,26.8641,26.7549,26.7913,17.5192,13.9175,4.69415,21.8364,20.4084,15.6074,6.09378,-0.0977325,-1.85182
SSA_00009,19.7205,19.8138,20.0644,20.3221,20.5958,20.5255,20.7053,21.3332,15.2377,11.8623,4.05756,15.3415,14.3878,10.7124,2.83215,-0.889253,-1.95184,18.3728,18.4675,18.6941,18.9266,19.1736,19.1073,19.2739,19.7949,14.3797,11.3421,3.87925,15.3415,14.3878,10.7124,2.83215,-0.889253,-1.95184
SSA_00010,21.3359,21.4423,21.6907,21.9427,22.2086,22.0182,22.1201,22.5679,15.6939,12.3723,4.21016,17.3705,16.2784,12.2835,3.64356,-0.705569,-1.92737,22.0789,22.2022,22.4674,22.7355,23.0176,22.8275,22.9304,23.4454,16.1341,12.6251,4.30038,17.3705,16.2784,12.2835,3.64356,-0.705569,-1.92737
SSA_00013,19.8049,19.8872,20.1326,20.3879,20.6613,20.5926,20.7787,21.4285,15.2993,11.9102,4.07024,15.16,14.2173,10.5727,2.76572,-0.904354,-1.95395,18.902,19.003,19.2389,19.4824,19.7417,19.6797,19.8584,20.4399,14.7669,11.5566,3.95477,15.16,14.2173,10.5727,2.76572,-0.904354,-1.95395
